match_id,matchweek,player_id,player_name,team,actual_shots,actual_sot,minutes_played,did_start
BT_M05_1,5,P_BT7,James Tarkowski,TeamD,1,0,90,True
BT_M05_1,5,P_BT8,Declan Rice,TeamD,2,1,90,True
BT_M05_2,5,P_BT5,Son Heung-min,TeamC,1,0,30,True
BT_M05_2,5,P_BT6,Bukayo Saka,TeamC,3,1,90,True
BT_M05_2,5,P_BT3,Erling Haaland,TeamB,6,3,90,True
BT_M05_2,5,P_BT4,Kevin De Bruyne,TeamB,2,1,90,True
BT_M06_1,6,P_BT7,James Tarkowski,TeamD,0,0,0,False
BT_M06_1,6,P_BT8,Declan Rice,TeamD,1,0,90,True
BT_M06_1,6,P_BT1,Harry Kane,TeamA,4,2,90,True
BT_M06_1,6,P_BT2,Mo Salah,TeamA,4,2,90,True
BT_M06_2,6,P_BT3,Erling Haaland,TeamB,8,4,90,True
BT_M06_2,6,P_BT4,Kevin De Bruyne,TeamB,1,0,90,True
BT_M06_2,6,P_BT5,Son Heung-min,TeamC,3,1,90,True
BT_M06_2,6,P_BT6,Bukayo Saka,TeamC,2,1,90,True
BT_M07_1,7,P_BT1,Harry Kane,TeamA,7,3,90,True
BT_M07_1,7,P_BT2,Mo Salah,TeamA,3,1,90,True
BT_M07_1,7,P_BT3,Erling Haaland,TeamB,5,2,90,True
BT_M07_1,7,P_BT4,Kevin De Bruyne,TeamB,3,1,90,True
BT_M07_2,7,P_BT5,Son Heung-min,TeamC,5,2,90,True
BT_M07_2,7,P_BT6,Bukayo Saka,TeamC,3,1,90,True
BT_M07_2,7,P_BT7,James Tarkowski,TeamD,0,0,90,True
BT_M07_2,7,P_BT8,Declan Rice,TeamD,2,1,90,True
BT_M08_1,8,P_BT3,Erling Haaland,TeamB,6,3,90,True
BT_M08_1,8,P_BT4,Kevin De Bruyne,TeamB,2,1,90,True
BT_M08_1,8,P_BT1,Harry Kane,TeamA,5,2,90,True
BT_M08_1,8,P_BT2,Mo Salah,TeamA,4,2,90,True
BT_M08_2,8,P_BT7,James Tarkowski,TeamD,1,0,90,True
BT_M08_2,8,P_BT8,Declan Rice,TeamD,0,0,0,False
BT_M08_2,8,P_BT5,Son Heung-min,TeamC,4,2,90,True
BT_M08_2,8,P_BT6,Bukayo Saka,TeamC,4,2,90,True
BT_M09_1,9,P_BT1,Harry Kane,TeamA,4,2,90,True
BT_M09_1,9,P_BT2,Mo Salah,TeamA,5,2,90,True
BT_M09_1,9,P_BT5,Son Heung-min,TeamC,3,1,90,True
BT_M09_1,9,P_BT6,Bukayo Saka,TeamC,2,1,90,True
BT_M09_2,9,P_BT3,Erling Haaland,TeamB,7,3,90,True
BT_M09_2,9,P_BT4,Kevin De Bruyne,TeamB,1,0,90,True
BT_M09_2,9,P_BT7,James Tarkowski,TeamD,0,0,90,True
BT_M09_2,9,P_BT8,Declan Rice,TeamD,1,0,90,True
BT_M10_1,10,P_BT5,Son Heung-min,TeamC,4,2,90,True
BT_M10_1,10,P_BT6,Bukayo Saka,TeamC,3,1,90,True
BT_M10_1,10,P_BT1,Harry Kane,TeamA,6,3,90,True
BT_M10_1,10,P_BT2,Mo Salah,TeamA,3,1,90,True
BT_M10_2,10,P_BT7,James Tarkowski,TeamD,1,0,90,True
BT_M10_2,10,P_BT8,Declan Rice,TeamD,2,1,90,True
BT_M10_2,10,P_BT3,Erling Haaland,TeamB,5,2,90,True
BT_M10_2,10,P_BT4,Kevin De Bruyne,TeamB,2,1,90,True
